date,value,category,ref_area,year,month
2022-01-01,185198.8309380862,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,1
2022-02-01,188588.0010634082,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,2
2022-03-01,199350.6884251968,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,3
2022-04-01,207176.5979699248,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,4
2022-05-01,208417.0344382022,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,5
2022-06-01,217595.8957509157,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,6
2022-07-01,217024.2096537484,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,7
2022-08-01,218453.8503657761,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,8
2022-09-01,225734.8111347518,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,9
2022-10-01,218003.0377752708,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,10
2022-11-01,219508.923549204,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,11
2022-12-01,218009.9403125,"Первичный рынок, бизнес-класс",Республика Татарстан,2022,12
2023-01-01,218540.3878583333,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,1
2023-02-01,214431.6342865853,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,2
2023-03-01,212887.6921974063,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,3
2023-04-01,223384.9874652777,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,4
2023-05-01,228604.4173732719,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,5
2023-06-01,234029.7964578948,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,6
2023-07-01,242770.7671428572,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,7
2023-08-01,238881.592613493,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,8
2023-09-01,240848.3948236092,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,9
2023-10-01,248563.0605791618,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,10
2023-11-01,253894.570121875,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,11
2023-12-01,256844.4242682927,"Первичный рынок, бизнес-класс",Республика Татарстан,2023,12
2024-01-01,265012.6061006098,"Первичный рынок, бизнес-класс",Республика Татарстан,2024,1
2024-02-01,267254.348563135,"Первичный рынок, бизнес-класс",Республика Татарстан,2024,2
2024-03-01,275090.7078056426,"Первичный рынок, бизнес-класс",Республика Татарстан,2024,3
2024-04-01,276154.366724846,"Первичный рынок, бизнес-класс",Республика Татарстан,2024,4
2024-05-01,287463.8679158879,"Первичный рынок, бизнес-класс",Республика Татарстан,2024,5
2024-06-01,304309.0456777778,"Первичный рынок, бизнес-класс",Республика Татарстан,2024,6
2024-07-01,315862.1296081678,"Первичный рынок, бизнес-класс",Республика Татарстан,2024,7
2024-08-01,318096.859175705,"Первичный рынок, бизнес-класс",Республика Татарстан,2024,8
2024-09-01,324264.9239877836,"Первичный рынок, бизнес-класс",Республика Татарстан,2024,9
2024-10-01,316706.0405962897,"Первичный рынок, бизнес-класс",Республика Татарстан,2024,10
